strain	date	country	region	host	accession	isolates	authors
Dan25_MT591078_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591078	Dan25	Oyekanmi et al.
Dan18_MT591079_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591079	Dan18	Oyekanmi et al.
19177Y_MT591080_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-12-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591080	19177Y	Oyekanmi et al.
2665Y_MT591081_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-12-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591081	2665Y	Oyekanmi et al.
MISG_MT591082_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-12-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591082	MISG	Oyekanmi et al.
ADK-nteje-2_MT553854_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT553854	ADK-nteje-2	Osundahunsi et al.
YMVcp-WH47b_MT501332_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501332	YMVcp-WH47b	Azetech et al.
YMVcp-GS218_MT501333_Dioscorea-cayenensis_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis	MT501333	YMVcp-GS218	Azetech et al.
YMVcp-GS172b_MT501334_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501334	YMVcp-GS172b	Azetech et al.
YMVcp-WH214b_MT501335_Dioscorea-cayenensis_Cameroon_2016	2016-11-02	Cameroon	Unknown	Dioscorea cayenensis	MT501335	YMVcp-WH214b	Azetech et al.
YMVcp-HB285b_MT501336_Dioscorea-cayenensis_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis	MT501336	YMVcp-HB285b	Azetech et al.
YMVcp-HB96_MT501337_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501337	YMVcp-HB96	Azetech et al.
YMVcp-GS100_MT501338_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501338	YMVcp-GS100	Azetech et al.
YMVcp-GS156_MT501339_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501339	YMVcp-GS156	Azetech et al.
YMVcp-WH161_MT501340_Dioscorea-cayenensis_Cameroon_2016	2016-11-02	Cameroon	Unknown	Dioscorea cayenensis	MT501340	YMVcp-WH161	Azetech et al.
YMVcp-WH194_MT501341_Dioscorea-cayenensis_Cameroon_2016	2016-11-02	Cameroon	Unknown	Dioscorea cayenensis	MT501341	YMVcp-WH194	Azetech et al.
YMVcp-WH127_MT501342_Dioscorea-cayenensis_Cameroon_2016	2016-11-02	Cameroon	Unknown	Dioscorea cayenensis	MT501342	YMVcp-WH127	Azetech et al.
YMVcp-GS143_MT501343_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501343	YMVcp-GS143	Azetech et al.
YMVcp-GS233_MT501344_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501344	YMVcp-GS233	Azetech et al.
YMVcp-WH261_MT501345_Dioscorea-cayenensis_Cameroon_2016	2016-11-02	Cameroon	Unknown	Dioscorea cayenensis	MT501345	YMVcp-WH261	Azetech et al.
YMVcp-GS280_MT501346_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501346	YMVcp-GS280	Azetech et al.
YMVcp-HB303_MT501347_Dioscorea-cayenensis_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis	MT501347	YMVcp-HB303	Azetech et al.
YMVcp-HM26_MT501348_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-08-16	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501348	YMVcp-HM26	Azetech et al.
YMVcp-WH132_MT501349_Dioscorea-cayenensis_Cameroon_2016	2016-08-24	Cameroon	Unknown	Dioscorea cayenensis	MT501349	YMVcp-WH132	Azetech et al.
YMVcp-GS183_MT501350_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-08-28	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501350	YMVcp-GS183	Azetech et al.
YMVcp-GS258_MT501351_Dioscorea-cayenensis_Cameroon_2016	2016-09-05	Cameroon	Unknown	Dioscorea cayenensis	MT501351	YMVcp-GS258	Azetech et al.
YMVcp-HB290_MT501352_Dioscorea-cayenensis_Cameroon_2016	2016-09-10	Cameroon	Unknown	Dioscorea cayenensis	MT501352	YMVcp-HB290	Azetech et al.
YMVcp-HB298_MT501353_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-09-11	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501353	YMVcp-HB298	Azetech et al.
YMVcp-HB295_MT501354_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-09-12	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501354	YMVcp-HB295	Azetech et al.
YMVcp-WH126_MT501355_Dioscorea-schimperiana_Cameroon_2016	2016-11-02	Cameroon	Unknown	Dioscorea schimperiana	MT501355	YMVcp-WH126	Azetech et al.
YMVcp-HB160_MT501356_Dioscorea-esculenta_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea esculenta	MT501356	YMVcp-HB160	Azetech et al.
YMVcp-HM190_MT501357_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	MT501357	YMVcp-HM190	Azetech et al.
YMVcp-WH201b_MT501358_Dioscorea-cayenensis_Cameroon_2016	2016-11-01	Cameroon	Unknown	Dioscorea cayenensis	MT501358	YMVcp-WH201b	Azetech et al.
Au-Sc2-17-1_MT501399_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501399	Au-Sc2-17-1	Osundahunsi et al. 
Fk-Sc2-17-2_MT501400_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501400	Fk-Sc2-17-2	Osundahunsi et al. 
Las-Sc3-17-1_MT501401_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501401	Las-Sc3-17-1	Osundahunsi et al. 
Am-Sc3-17-1_MT501402_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501402	Am-Sc3-17-1	Osundahunsi et al. 
Au-Sc2-17-2_MT501403_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501403	Au-Sc2-17-2	Osundahunsi et al. 
AL-Sc2-17-1_MT501404_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501404	AL-Sc2-17-1	Osundahunsi et al. 
Las-Sc2-17-1_MT501405_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501405	Las-Sc2-17-1	Osundahunsi et al. 
Au-Sc3-17-1_MT501406_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501406	Au-Sc3-17-1	Osundahunsi et al. 
Am-Sc2-17-1_MT501407_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501407	Am-Sc2-17-1	Osundahunsi et al. 
Ek-Sc2-17-1_MT501408_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501408	Ek-Sc2-17-1	Osundahunsi et al. 
Au-Sc3-17-2_MT501409_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501409	Au-Sc3-17-2	Osundahunsi et al. 
Las-Sc3-17-2_MT501410_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501410	Las-Sc3-17-2	Osundahunsi et al. 
Hem-Sc3-17-1_MT501411_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501411	Hem-Sc3-17-1	Osundahunsi et al. 
Al-Sc3-17-1_MT501412_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501412	Al-Sc3-17-1	Osundahunsi et al. 
Ak-Sc3-17-1_MT501413_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501413	Ak-Sc3-17-1	Osundahunsi et al. 
Al-Sc2-17-2_MT501414_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501414	Al-Sc2-17-2	Osundahunsi et al. 
Mk-Sc3-17-2_MT501415_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501415	Mk-Sc3-17-2	Osundahunsi et al. 
Mk-Sc2-17-1_MT501416_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501416	Mk-Sc2-17-1	Osundahunsi et al. 
Las-Sc3-17-3_MT501417_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501417	Las-Sc3-17-3	Osundahunsi et al. 
Mk-Sc2-17-2_MT501418_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501418	Mk-Sc2-17-2	Osundahunsi et al. 
Dr-Sc3-17-1_MT501419_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501419	Dr-Sc3-17-1	Osundahunsi et al. 
Ek-Sc2-17-2_MT501420_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501420	Ek-Sc2-17-2	Osundahunsi et al. 
Ek-Sc3-17-2_MT501421_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501421	Ek-Sc3-17-2	Osundahunsi et al. 
AL-Sc2-17-3_MT501422_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501422	AL-Sc2-17-3	Osundahunsi et al. 
Hem-Sc2-17-2_MT501423_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501423	Hem-Sc2-17-2	Osundahunsi et al. 
Hem-Sc2-17-3_MT501424_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501424	Hem-Sc2-17-3	Osundahunsi et al. 
AL-Sc2-18-1_MT501425_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501425	AL-Sc2-18-1	Osundahunsi et al. 
Au-Sc2-18-2_MT501426_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501426	Au-Sc2-18-2	Osundahunsi et al. 
Fk-Sc2-18-1_MT501427_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501427	Fk-Sc2-18-1	Osundahunsi et al. 
Hem-Sc2-18-2_MT501428_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501428	Hem-Sc2-18-2	Osundahunsi et al. 
AK-Sc2-18-1_MT501429_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501429	AK-Sc2-18-1	Osundahunsi et al. 
Am-Sc2-18-3_MT501430_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501430	Am-Sc2-18-3	Osundahunsi et al. 
Ak-Sc2-18-3_MT501431_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501431	Ak-Sc2-18-3	Osundahunsi et al. 
Ak-Sc2-18-4_MT501432_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501432	Ak-Sc2-18-4	Osundahunsi et al. 
Au-Sc2-18-5_MT501433_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501433	Au-Sc2-18-5	Osundahunsi et al. 
Au-Sc2-18-6_MT501434_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501434	Au-Sc2-18-6	Osundahunsi et al. 
Al-Sc2-18-2_MT501435_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501435	Al-Sc2-18-2	Osundahunsi et al. 
Am-Sc2-17-2_MT501436_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501436	Am-Sc2-17-2	Osundahunsi et al. 
Au-Sc2-18-1_MT501437_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501437	Au-Sc2-18-1	Osundahunsi et al. 
Mk-Sc2-18-1_MT501438_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501438	Mk-Sc2-18-1	Osundahunsi et al. 
EK-Sc2-18-1_MT501439_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501439	EK-Sc2-18-1	Osundahunsi et al. 
EK-Sc3-18-1_MT501440_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501440	EK-Sc3-18-1	Osundahunsi et al. 
Mk-Sc2-17-3_MT501441_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501441	Mk-Sc2-17-3	Osundahunsi et al. 
AL-Sc3-17-2_MT501442_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501442	AL-Sc3-17-2	Osundahunsi et al. 
Fk-Sc2-17-1_MT501443_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501443	Fk-Sc2-17-1	Osundahunsi et al. 
Fk-Sc2-18-2_MT501444_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501444	Fk-Sc2-18-2	Osundahunsi et al. 
Ek-Sc3-17-1_MT501445_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501445	Ek-Sc3-17-1	Osundahunsi et al. 
Dr-Sc2-17-2_MT501446_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501446	Dr-Sc2-17-2	Osundahunsi et al. 
Ak-Sc2-17-1_MT501447_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501447	Ak-Sc2-17-1	Osundahunsi et al. 
Las-Sc2-17-2_MT501448_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501448	Las-Sc2-17-2	Osundahunsi et al. 
Mk-Sc3-17-3_MT501449_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501449	Mk-Sc3-17-3	Osundahunsi et al. 
Au-Sc2-18-3_MT501450_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501450	Au-Sc2-18-3	Osundahunsi et al. 
Hem-Sc2-17-1F_MT501451_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT501451	Hem-Sc2-17-1F	Osundahunsi et al. 
MK-GWAD-1_MT542849_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542849	MK-GWAD-1	Osundahunsi et al. 
MK-GWAD-2_MT542850_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542850	MK-GWAD-2	Osundahunsi et al. 
EK-ILUSHI-1_MT542851_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542851	EK-ILUSHI-1	Osundahunsi et al. 
EK-ILUSHI-2_MT542852_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542852	EK-ILUSHI-2	Osundahunsi et al. 
EK-NTEJE-1_MT542853_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542853	EK-NTEJE-1	Osundahunsi et al. 
ALU-ILUSHI-1_MT542854_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542854	ALU-ILUSHI-1	Osundahunsi et al. 
ALU-ILUSHI-2_MT542855_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542855	ALU-ILUSHI-2	Osundahunsi et al. 
ADK-NTEJE-1_MT542856_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542856	ADK-NTEJE-1	Osundahunsi et al. 
FAK-ZAKI-1_MT542857_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542857	FAK-ZAKI-1	Osundahunsi et al. 
MAK-PAK-3_MT542858_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542858	MAK-PAK-3	Osundahunsi et al. 
LAS-SARKI-3_MT542859_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542859	LAS-SARKI-3	Osundahunsi et al. 
AL-AGYAGU-1_MT542860_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542860	AL-AGYAGU-1	Osundahunsi et al. 
AL-AGYAGU-2_MT542861_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542861	AL-AGYAGU-2	Osundahunsi et al. 
AME-GWADALAD-3_MT542862_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542862	AME-GWADALAD-3	Osundahunsi et al. 
AME-GWADALAD-1_MT542863_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542863	AME-GWADALAD-1	Osundahunsi et al. 
Hem-AGYAGU-1_MT542864_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2016	2016-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT542864	Hem-AGYAGU-1	Osundahunsi et al. 
8_StoDgo_MK814865_Dioscorea-esculenta_Cuba_2011	2011-11-XX	Cuba	Unknown	Dioscorea esculenta	MK814865	8_StoDgo	Gonzalez Ramirez et al.
9_StoDgo_MK814866_Dioscorea-esculenta_Cuba_2011	2011-11-XX	Cuba	Unknown	Dioscorea esculenta	MK814866	9_StoDgo	Gonzalez Ramirez et al.
M1_StoDgo_MK814867_Dioscorea-cayenensis-subsp.-rotundata_Cuba_2014	2014-06-XX	Cuba	Unknown	Dioscorea cayenensis subsp. rotundata	MK814867	M1_StoDgo	Gonzalez Ramirez et al.
M4_StoDgo_MK814868_Dioscorea-cayenensis-subsp.-rotundata_Cuba_2014	2014-06-XX	Cuba	Unknown	Dioscorea cayenensis subsp. rotundata	MK814868	M4_StoDgo	Gonzalez Ramirez et al.
Trifida/C5_AJ238401_Dioscorea-trifida_France_1986	1986-XX-XX	France	Europe	Dioscorea trifida	AJ238401	Trifida/C5	Bousalem et al. 
AID10/C5_AJ244043_Dioscorea-alata_USA_1994	1994-XX-XX	USA	North America	Dioscorea alata	AJ244043	AID10/C5	Bousalem et al. 
CGU2/C4_AJ244044_Dioscorea-cayenensis-subsp.-rotundata_France_1994	1994-XX-XX	France	Europe	Dioscorea cayenensis subsp. rotundata	AJ244044	CGU2/C4	Bousalem et al. 
GY/INRA/C11_AJ244045_Dioscorea-trifida_French-Guiana_1991	1991-XX-XX	French Guiana	Unknown	Dioscorea trifida	AJ244045	GY/INRA/C11	Bousalem et al. 
174/C1_AJ244046_Dioscorea-cayenensis-subsp.-rotundata_Benin_1994	1994-XX-XX	Benin	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244046	174/C1	Bousalem et al. 
608_AJ244047_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_1992	1992-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	AJ244047	608	Bousalem et al. 
B1/C1_AJ244048_Dioscorea-cayenensis-subsp.-rotundata_Benin_1994	1994-XX-XX	Benin	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244048	B1/C1	Bousalem et al. 
B14_AJ244049_Dioscorea-cayenensis-subsp.-rotundata_Benin_1994	1994-XX-XX	Benin	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244049	B14	Bousalem et al. 
BFC51/C11_AJ244050_Dioscorea-cayenensis-subsp.-rotundata_Burkina-Faso_1992	1992-XX-XX	Burkina Faso	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244050	BFC51/C11	Bousalem et al. 
BFC54_AJ244051_Dioscorea-cayenensis-subsp.-rotundata_Burkina-Faso_1992	1992-XX-XX	Burkina Faso	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244051	BFC54	Bousalem et al. 
BFC56_AJ244052_Dioscorea-cayenensis-subsp.-rotundata_Burkina-Faso_1992	1992-XX-XX	Burkina Faso	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244052	BFC56	Bousalem et al. 
C1/C3_AJ244053_Dioscorea-cayenensis-subsp.-rotundata_Burkina-Faso_1992	1992-XX-XX	Burkina Faso	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244053	C1/C3	Bousalem et al. 
CAM1/C1_AJ244054_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_1994	1994-XX-XX	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244054	CAM1/C1	Bousalem et al. 
CAM2/C31_AJ244055_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_1994	1994-XX-XX	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244055	CAM2/C31	Bousalem et al. 
CBE6b/C3_AJ244056_Dioscorea-cayenensis-subsp.-rotundata_Benin_1994	1994-XX-XX	Benin	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244056	CBE6b/C3	Bousalem et al. 
CGU1/C18_AJ244057_Dioscorea-cayenensis-subsp.-rotundata_France_1994	1994-XX-XX	France	Europe	Dioscorea cayenensis subsp. rotundata	AJ244057	CGU1/C18	Bousalem et al. 
CID3/C12_AJ244058_Dioscorea-cayenensis-subsp.-rotundata_Ivory-Coast_1994	1994-XX-XX	Ivory Coast	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244058	CID3/C12	Bousalem et al. 
CKA1/C11_AJ244059_Dioscorea-cayenensis-subsp.-rotundata_Ivory-Coast_1994	1994-XX-XX	Ivory Coast	Unknown	Dioscorea cayenensis subsp. rotundata	AJ244059	CKA1/C11	Bousalem et al. 
Divin_AJ244060_Dioscorea-alata_France_1989	1989-XX-XX	France	Europe	Dioscorea alata	AJ244060	Divin	Bousalem et al. 
G13/C1_AJ244061_Dioscorea-trifida_French-Guiana_1992	1992-XX-XX	French Guiana	Unknown	Dioscorea trifida	AJ244061	G13/C1	Bousalem et al. 
G5/C10_AJ244062_Dioscorea-trifida_French-Guiana_1992	1992-XX-XX	French Guiana	Unknown	Dioscorea trifida	AJ244062	G5/C10	Bousalem et al. 
