strain	date	country	region	host	accession	isolates	authors
R-Sep-20-2-V2BC-2_MZ671002_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671002	R-Sep-20-2-V2BC-2	Osundahunsi et al.
R-Sep-20-2-V2BA-2_MZ671003_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671003	R-Sep-20-2-V2BA-2	Osundahunsi et al.
R-Oct-20-2-V2TD-2_MZ671004_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-18	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671004	R-Oct-20-2-V2TD-2	Osundahunsi et al.
R-Oct-20-2-V2TB-3_MZ671005_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-18	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671005	R-Oct-20-2-V2TB-3	Osundahunsi et al.
R-Oct-20-2-V2TC-2_MZ671006_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-18	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671006	R-Oct-20-2-V2TC-2	Osundahunsi et al.
R-Oct-20-2-V2TA-2_MZ671007_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-18	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671007	R-Oct-20-2-V2TA-2	Osundahunsi et al.
R-Aug-20-2-V2BB-2_MZ671008_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671008	R-Aug-20-2-V2BB-2	Osundahunsi et al.
R-Aug-20-2-V2BC-1_MZ671009_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671009	R-Aug-20-2-V2BC-1	Osundahunsi et al.
R-Aug-20-2-V2TC-1_MZ671010_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671010	R-Aug-20-2-V2TC-1	Osundahunsi et al.
R-Aug-20-2-V2TD-1_MZ671011_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671011	R-Aug-20-2-V2TD-1	Osundahunsi et al.
