Name;Accession;Organism;collection_date;country;host;strain
Hem-Sc2-18-2;MT501428.1;Yam mosaic virus;2017-01-29;Nigeria: Hembakwase, Ibadan;Dioscorea cayenensis subsp. rotundata;Hem-Sc2-18-2
AK-Sc2-18-1;MT501429.1;Yam mosaic virus;2017-01-30;Nigeria: Adaka, Ibadan;Dioscorea cayenensis subsp. rotundata;AK-Sc2-18-1
Am-Sc2-18-3;MT501430.1;Yam mosaic virus;2017-01-31;Nigeria: Ame, Ibadan;Dioscorea cayenensis subsp. rotundata;Am-Sc2-18-3
Ak-Sc2-18-3;MT501431.1;Yam mosaic virus;2017-02-01;Nigeria: Adaka, Ibadan;Dioscorea cayenensis subsp. rotundata;Ak-Sc2-18-3
Ak-Sc2-18-4;MT501432.1;Yam mosaic virus;2017-02-02;Nigeria: Adaka, Ibadan;Dioscorea cayenensis subsp. rotundata;Ak-Sc2-18-4
Au-Sc2-18-5;MT501433.1;Yam mosaic virus;2017-02-03;Nigeria: Alumaco, Ibadan;Dioscorea cayenensis subsp. rotundata;Au-Sc2-18-5
Au-Sc2-18-6;MT501434.1;Yam mosaic virus;2017-02-04;Nigeria: Alumaco, Ibadan;Dioscorea cayenensis subsp. rotundata;Au-Sc2-18-6
Al-Sc2-18-2;MT501435.1;Yam mosaic virus;2017-02-05;Nigeria: Aloshi, Ibadan;Dioscorea cayenensis subsp. rotundata;Al-Sc2-18-2
Am-Sc2-17-2;MT501436.1;Yam mosaic virus;2017-02-06;Nigeria: Ame, Ibadan;Dioscorea cayenensis subsp. rotundata;Am-Sc2-17-2
Au-Sc2-18-1;MT501437.1;Yam mosaic virus;2017-02-07;Nigeria: Alumaco, Ibadan;Dioscorea cayenensis subsp. rotundata;Au-Sc2-18-1
Mk-Sc2-18-1;MT501438.1;Yam mosaic virus;2017-02-08;Nigeria: Meccakusa, Ibadan;Dioscorea cayenensis subsp. rotundata;Mk-Sc2-18-1
EK-Sc2-18-1;MT501439.1;Yam mosaic virus;2017-02-09;Nigeria: Ekpe, Ibadan;Dioscorea cayenensis subsp. rotundata;EK-Sc2-18-1
EK-Sc3-18-1;MT501440.1;Yam mosaic virus;2017-02-10;Nigeria: Ekpe, Ibadan;Dioscorea cayenensis subsp. rotundata;EK-Sc3-18-1
Mk-Sc2-17-3;MT501441.1;Yam mosaic virus;2017-02-11;Nigeria: Meccakusa, Ibadan;Dioscorea cayenensis subsp. rotundata;Mk-Sc2-17-3
AL-Sc3-17-2;MT501442.1;Yam mosaic virus;2017-02-12;Nigeria: Aloshi, Ibadan;Dioscorea cayenensis subsp. rotundata;AL-Sc3-17-2
Fk-Sc2-17-1;MT501443.1;Yam mosaic virus;2017-02-13;Nigeria: Faketsa, Ibadan;Dioscorea cayenensis subsp. rotundata;Fk-Sc2-17-1
Fk-Sc2-18-2;MT501444.1;Yam mosaic virus;2017-02-14;Nigeria: Faketsa, Ibadan;Dioscorea cayenensis subsp. rotundata;Fk-Sc2-18-2
Ek-Sc3-17-1;MT501445.1;Yam mosaic virus;2017-02-15;Nigeria: Ekpe, Ibadan;Dioscorea cayenensis subsp. rotundata;Ek-Sc3-17-1
Dr-Sc2-17-2;MT501446.1;Yam mosaic virus;2017-02-16;Nigeria: Daribokor, Ibadan;Dioscorea cayenensis subsp. rotundata;Dr-Sc2-17-2
Ak-Sc2-17-1;MT501447.1;Yam mosaic virus;2017-02-17;Nigeria: Adaka, Ibadan;Dioscorea cayenensis subsp. rotundata;Ak-Sc2-17-1
Las-Sc2-17-2;MT501448.1;Yam mosaic virus;2017-02-18;Nigeria: Lasiri, Ibadan;Dioscorea cayenensis subsp. rotundata;Las-Sc2-17-2
Mk-Sc3-17-3;MT501449.1;Yam mosaic virus;2017-02-19;Nigeria: Meccakusa, Ibadan;Dioscorea cayenensis subsp. rotundata;Mk-Sc3-17-3
Au-Sc2-18-3;MT501450.1;Yam mosaic virus;2017-02-20;Nigeria: Alumaco, Ibadan;Dioscorea cayenensis subsp. rotundata;Au-Sc2-18-3
Hem-Sc2-17-1F;MT501451.1;Yam mosaic virus;2017-02-21;Nigeria: Hembakwase, Ibadan;Dioscorea cayenensis subsp. rotundata;Hem-Sc2-17-1F
MK-GWAD-1;MT542849.1;Yam mosaic virus;2017-02-22;Nigeria: Makakusa;Dioscorea cayenensis subsp. rotundata;MK-GWAD-1
MK-GWAD-2;MT542850.1;Yam mosaic virus;2017-02-23;Nigeria: Makakusa;Dioscorea cayenensis subsp. rotundata;MK-GWAD-2
